[487186.706788] device-mapper: dedup-mod: Initializing COWBTREE backend
[487186.744459] read	LBN: 57409520
[487186.744497] read	LBN: 57409534
[487186.744527] read	LBN: 0
[487186.744557] read	LBN: 1
[487186.744577] read	LBN: 57409535
[487186.744598] read	LBN: 57409503
[487186.744628] read	LBN: 57409528
[487186.744657] read	LBN: 57409504
[487186.744680] read	LBN: 57409486
[487186.744700] read	LBN: 57409462
[487186.744720] read	LBN: 57409451
[487186.744740] read	LBN: 57409444
[487186.744759] read	LBN: 57409422
[487186.744782] read	LBN: 57409414
[487186.744802] read	LBN: 57409412
[487186.744822] read	LBN: 57409417
[487186.744842] read	LBN: 57409150
[487186.744895] read	LBN: 256
[487186.744933] read	LBN: 3
[487186.744955] read	LBN: 7
[487186.744976] read	LBN: 15
[487186.745324] read	LBN: 2
[487186.745331] read	LBN: 4
[487186.745337] read	LBN: 5
[487186.745344] read	LBN: 6
[487186.745350] read	LBN: 8
[487186.745355] read	LBN: 9
[487186.745363] read	LBN: 10
[487186.745369] read	LBN: 11
[487186.745375] read	LBN: 12
[487186.745384] read	LBN: 13
[487186.745396] read	LBN: 14
[487186.745402] read	LBN: 16
[487186.745407] read	LBN: 17
[487186.745412] read	LBN: 18
[487186.745417] read	LBN: 19
[487186.745422] read	LBN: 20
[487186.745427] read	LBN: 21
[487186.745432] read	LBN: 22
[487186.745437] read	LBN: 23
[487186.745443] read	LBN: 24
[487186.745449] read	LBN: 25
[487186.745453] read	LBN: 26
[487186.745458] read	LBN: 27
[487186.745463] read	LBN: 28
[487186.745468] read	LBN: 29
[487186.745473] read	LBN: 30
[487186.745478] read	LBN: 31
[487186.745484] read	LBN: 32
[487186.745499] read	LBN: 33
[487186.745569] read	LBN: 34
[487186.745575] read	LBN: 35
[487186.745583] read	LBN: 36
[487186.745588] read	LBN: 37
[487186.745594] read	LBN: 38
[487186.745599] read	LBN: 39
[487186.745604] read	LBN: 40
[487186.745609] read	LBN: 41
[487186.745614] read	LBN: 42
[487186.745619] read	LBN: 43
[487186.745624] read	LBN: 44
[487186.745629] read	LBN: 45
[487186.745634] read	LBN: 46
[487186.745639] read	LBN: 47
[487186.745643] read	LBN: 48
[487186.745649] read	LBN: 49
[487186.745653] read	LBN: 50
[487186.745658] read	LBN: 51
[487186.745665] read	LBN: 52
[487186.745670] read	LBN: 53
[487186.745675] read	LBN: 54
[487186.745680] read	LBN: 55
[487186.745685] read	LBN: 56
[487186.745690] read	LBN: 57
[487186.745695] read	LBN: 58
[487186.745700] read	LBN: 59
[487186.745706] read	LBN: 60
[487186.745712] read	LBN: 61
[487186.745717] read	LBN: 62
[487186.745734] read	LBN: 63
[487186.745959] read	LBN: 64
[487186.745965] read	LBN: 65
[487186.745970] read	LBN: 66
[487186.745976] read	LBN: 67
[487186.745981] read	LBN: 68
[487186.745986] read	LBN: 69
[487186.745992] read	LBN: 70
[487186.745997] read	LBN: 71
[487186.746002] read	LBN: 72
[487186.746007] read	LBN: 73
[487186.746011] read	LBN: 74
[487186.746016] read	LBN: 75
[487186.746021] read	LBN: 76
[487186.746027] read	LBN: 77
[487186.746033] read	LBN: 78
[487186.746038] read	LBN: 79
[487186.746043] read	LBN: 80
[487186.746048] read	LBN: 81
[487186.746052] read	LBN: 82
[487186.746057] read	LBN: 83
[487186.746062] read	LBN: 84
[487186.746068] read	LBN: 85
[487186.746073] read	LBN: 86
[487186.746079] read	LBN: 87
[487186.746084] read	LBN: 88
[487186.746089] read	LBN: 89
[487186.746094] read	LBN: 90
[487186.746099] read	LBN: 91
[487186.746103] read	LBN: 92
[487186.746109] read	LBN: 93
[487186.746114] read	LBN: 94
[487186.746131] read	LBN: 95
[487186.746217] read	LBN: 96
[487186.746223] read	LBN: 97
[487186.746230] read	LBN: 98
[487186.746236] read	LBN: 99
[487186.746242] read	LBN: 100
[487186.746247] read	LBN: 101
[487186.746252] read	LBN: 102
[487186.746257] read	LBN: 103
[487186.746262] read	LBN: 104
[487186.746267] read	LBN: 105
[487186.746272] read	LBN: 106
[487186.746277] read	LBN: 107
[487186.746282] read	LBN: 108
[487186.746287] read	LBN: 109
[487186.746292] read	LBN: 110
[487186.746297] read	LBN: 111
[487186.746302] read	LBN: 112
[487186.746307] read	LBN: 113
[487186.746313] read	LBN: 114
[487186.746318] read	LBN: 115
[487186.746323] read	LBN: 116
[487186.746329] read	LBN: 117
[487186.746334] read	LBN: 118
[487186.746339] read	LBN: 119
[487186.746344] read	LBN: 120
[487186.746349] read	LBN: 121
[487186.746354] read	LBN: 122
[487186.746359] read	LBN: 123
[487186.746364] read	LBN: 124
[487186.746369] read	LBN: 125
[487186.746374] read	LBN: 126
[487186.746392] read	LBN: 127
[487186.746679] read	LBN: 57409408
[487186.746684] read	LBN: 57409409
[487186.746690] read	LBN: 57409410
[487186.746698] read	LBN: 57409411
[487186.746704] read	LBN: 57409413
[487186.746710] read	LBN: 57409415
[487186.746723] read	LBN: 57409416
[487186.746729] read	LBN: 57409418
[487186.746734] read	LBN: 57409419
[487186.746740] read	LBN: 57409420
[487186.746751] read	LBN: 57409421
[487186.746756] read	LBN: 57409423
[487186.746762] read	LBN: 57409424
[487186.746767] read	LBN: 57409425
[487186.746772] read	LBN: 57409426
[487186.746777] read	LBN: 57409427
[487186.746782] read	LBN: 57409428
[487186.746787] read	LBN: 57409429
[487186.746792] read	LBN: 57409430
[487186.746797] read	LBN: 57409431
[487186.746802] read	LBN: 57409432
[487186.746807] read	LBN: 57409433
[487186.746812] read	LBN: 57409434
[487186.746817] read	LBN: 57409435
[487186.746822] read	LBN: 57409436
[487186.746827] read	LBN: 57409437
[487186.746831] read	LBN: 57409438
[487186.746845] read	LBN: 57409439
[487186.746898] read	LBN: 57409440
[487186.746905] read	LBN: 57409441
[487186.746911] read	LBN: 57409442
[487186.746919] read	LBN: 57409443
[487186.746924] read	LBN: 57409445
[487186.746929] read	LBN: 57409446
[487186.746937] read	LBN: 57409447
[487186.746943] read	LBN: 57409448
[487186.746949] read	LBN: 57409449
[487186.746956] read	LBN: 57409450
[487186.746962] read	LBN: 57409452
[487186.746967] read	LBN: 57409453
[487186.746972] read	LBN: 57409454
[487186.746977] read	LBN: 57409455
[487186.746982] read	LBN: 57409456
[487186.746988] read	LBN: 57409457
[487186.746993] read	LBN: 57409458
[487186.746998] read	LBN: 57409459
[487186.747003] read	LBN: 57409460
[487186.747017] read	LBN: 57409461
[487186.747023] read	LBN: 57409463
[487186.747029] read	LBN: 57409464
[487186.747034] read	LBN: 57409465
[487186.747039] read	LBN: 57409466
[487186.747044] read	LBN: 57409467
[487186.747049] read	LBN: 57409468
[487186.747054] read	LBN: 57409469
[487186.747059] read	LBN: 57409470
[487186.747067] read	LBN: 57409471
[487186.747265] read	LBN: 57409472
[487186.747271] read	LBN: 57409473
[487186.747276] read	LBN: 57409474
[487186.747281] read	LBN: 57409475
[487186.747287] read	LBN: 57409476
[487186.747293] read	LBN: 57409477
[487186.747299] read	LBN: 57409478
[487186.747305] read	LBN: 57409479
[487186.747311] read	LBN: 57409480
[487186.747317] read	LBN: 57409481
[487186.747323] read	LBN: 57409482
[487186.747328] read	LBN: 57409483
[487186.747333] read	LBN: 57409484
[487186.747347] read	LBN: 57409485
[487186.747353] read	LBN: 57409487
[487186.747358] read	LBN: 57409488
[487186.747363] read	LBN: 57409489
[487186.747368] read	LBN: 57409490
[487186.747374] read	LBN: 57409491
[487186.747379] read	LBN: 57409492
[487186.747383] read	LBN: 57409493
[487186.747388] read	LBN: 57409494
[487186.747393] read	LBN: 57409495
[487186.747398] read	LBN: 57409496
[487186.747403] read	LBN: 57409497
[487186.747408] read	LBN: 57409498
[487186.747413] read	LBN: 57409499
[487186.747418] read	LBN: 57409500
[487186.747423] read	LBN: 57409501
[487186.747436] read	LBN: 57409502
[487186.747497] read	LBN: 57409505
[487186.747506] read	LBN: 57409506
[487186.747511] read	LBN: 57409507
[487186.747517] read	LBN: 57409508
[487186.747522] read	LBN: 57409509
[487186.747528] read	LBN: 57409510
[487186.747533] read	LBN: 57409511
[487186.747539] read	LBN: 57409512
[487186.747545] read	LBN: 57409513
[487186.747550] read	LBN: 57409514
[487186.747555] read	LBN: 57409515
[487186.747560] read	LBN: 57409516
[487186.747565] read	LBN: 57409517
[487186.747570] read	LBN: 57409518
[487186.747584] read	LBN: 57409519
[487186.747590] read	LBN: 57409521
[487186.747595] read	LBN: 57409522
[487186.747600] read	LBN: 57409523
[487186.747605] read	LBN: 57409524
[487186.747609] read	LBN: 57409525
[487186.747615] read	LBN: 57409526
[487186.747622] read	LBN: 57409527
[487186.747628] read	LBN: 57409529
[487186.747633] read	LBN: 57409530
[487186.747638] read	LBN: 57409531
[487186.747643] read	LBN: 57409532
[487186.747651] read	LBN: 57409533
[487186.747772] read	LBN: 512
[487191.051780] write	LBN: 28599259
[487191.051792] write	LBN: 28599260
[487191.051805] write	LBN: 28599261
[487191.051817] write	LBN: 28599262
[487191.051830] write	LBN: 28599263
[487191.051842] write	LBN: 28599264
[487191.051855] write	LBN: 28599265
[487191.051867] write	LBN: 28599266
[487191.051880] write	LBN: 28599267
[487191.051892] write	LBN: 28599268
[487191.051905] write	LBN: 28599269
[487191.051917] write	LBN: 28599270
[487191.051929] write	LBN: 28599271
[487191.051941] write	LBN: 28599272
[487191.051954] write	LBN: 28599273
[487191.051966] write	LBN: 28599274
[487191.051978] write	LBN: 28599275
[487191.051991] write	LBN: 28599276
[487191.052003] write	LBN: 28599277
[487191.052015] write	LBN: 28599278
[487191.052028] write	LBN: 28599279
[487191.052040] write	LBN: 28599280
[487191.052053] write	LBN: 28599281
[487191.052065] write	LBN: 28599282
[487191.052078] write	LBN: 28599283
[487191.052090] write	LBN: 28599284
[487191.052102] write	LBN: 28599285
[487191.052115] write	LBN: 28599286
[487191.052128] write	LBN: 28599287
[487191.052140] write	LBN: 28599288
[487191.052153] write	LBN: 28599289
[487191.052165] write	LBN: 28599290
[487191.052177] write	LBN: 28599291
[487191.052190] write	LBN: 28599292
[487191.052203] write	LBN: 28599293
[487191.052215] write	LBN: 28599294
[487191.052228] write	LBN: 28599295
[487191.052241] write	LBN: 28599296
[487191.052253] write	LBN: 28599297
[487191.052266] write	LBN: 28599298
[487191.052278] write	LBN: 28599299
[487191.052291] write	LBN: 28599300
[487191.052303] write	LBN: 28599301
[487191.052316] write	LBN: 28599302
[487191.052328] write	LBN: 28599303
[487191.052341] write	LBN: 28599304
[487191.052353] write	LBN: 28599305
[487191.052366] write	LBN: 28599306
[487191.052378] write	LBN: 28599307
[487191.052390] write	LBN: 28599308
[487191.052403] write	LBN: 28599309
[487191.052415] write	LBN: 28599310
[487191.052429] write	LBN: 28599311
[487191.052444] write	LBN: 28599312
[487191.052456] write	LBN: 28599313
[487191.052469] write	LBN: 28599314
[487191.052481] write	LBN: 28599315
